id входа;id;начальная ставка;депозит после цикла;Время;порядковый номер шага;результат
30;31;0,20;14,6240;25 21:19;2;выигрыш
50;61;0,20;14,8508;25 21:28;12;выигрыш
248;249;0,21;15,5060;25 22:32;2;выигрыш
397;406;0,22;15,7632;25 23:27;10;выигрыш
705;719;0,22;16,0000;26 01:17;15;выигрыш
1113;1116;0,22;16,2464;26 03:32;4;выигрыш
1167;1167;0,23;17,1940;26 03:48;1;выигрыш
1191;1191;0,24;18,1828;26 03:57;1;выигрыш
1354;1354;0,25;19,2128;26 04:52;1;выигрыш
1417;1421;0,27;19,4924;26 05:16;5;выигрыш
1549;1564;0,27;19,7868;26 06:01;16;выигрыш
1599;1600;0,28;20,6604;26 06:14;2;выигрыш
1621;1627;0,29;20,9664;26 06:23;7;выигрыш
1723;1726;0,29;21,2912;26 06:57;4;выигрыш
1762;1763;0,30;22,2272;26 07:08;2;выигрыш
2096;2098;0,31;22,8844;26 09:10;3;выигрыш
2192;2192;0,32;24,2028;26 09:40;1;выигрыш
2275;2280;0,34;24,5652;26 10:07;6;выигрыш
2460;2460;0,35;26,0072;26 11:11;1;выигрыш
2628;2633;0,37;26,3844;26 12:12;6;выигрыш
2759;2760;0,37;27,5388;26 13:01;2;выигрыш
2827;2827;0,39;29,1456;26 13:25;1;выигрыш
3171;3174;0,41;29,6048;26 15:27;4;выигрыш
3218;3223;0,42;30,0516;26 15:45;6;выигрыш
3297;3298;0,42;31,3620;26 16:13;2;выигрыш
3482;3482;0,44;33,1748;26 17:23;1;выигрыш
3585;3600;0,47;33,6608;26 18:09;16;выигрыш
3738;3738;0,48;35,6384;26 19:04;1;выигрыш
3944;3946;0,50;36,6984;26 20:29;3;выигрыш
4019;4020;0,52;38,3208;26 20:59;2;выигрыш
4153;4155;0,54;39,4656;26 21:57;3;выигрыш
4254;4254;0,56;41,7728;26 22:33;1;выигрыш
4383;4390;0,59;42,3684;26 23:19;8;выигрыш
4635;4641;0,60;42,9840;27 00:50;7;выигрыш
4681;4687;0,61;43,6020;27 01:05;7;выигрыш
4753;4755;0,62;44,9164;27 01:27;3;выигрыш
4771;4786;0,64;1,8664;27 01:35;16;стоп
5578;5591;0,20;2,0876;27 06:09;14;выигрыш
5840;5848;0,20;2,2984;27 07:44;9;выигрыш
5906;5909;0,20;2,5224;27 08:04;4;выигрыш
6035;6035;0,20;3,3464;27 08:56;1;выигрыш
6108;6110;0,20;3,7704;27 09:23;3;выигрыш
6139;6144;0,20;3,9976;27 09:35;6;выигрыш
6284;6289;0,20;4,2248;27 10:26;6;выигрыш
6339;6345;0,20;4,4304;27 10:42;7;выигрыш
6489;6491;0,20;4,8544;27 11:37;3;выигрыш
6637;6641;0,20;5,0844;27 12:31;5;выигрыш
6745;6745;0,20;5,9084;27 13:10;1;выигрыш
6769;6770;0,20;6,5324;27 13:20;2;выигрыш
6786;6787;0,20;7,1564;27 13:26;2;выигрыш
6824;6829;0,20;7,3836;27 13:38;6;выигрыш
6924;6934;0,20;7,6240;27 14:14;11;выигрыш
7007;7011;0,20;7,8540;27 14:42;5;выигрыш
7407;7414;0,20;8,0916;27 17:07;8;выигрыш
7459;7472;0,20;8,3128;27 17:25;14;выигрыш
7508;7510;0,20;8,7368;27 17:38;3;выигрыш
7627;7629;0,20;9,1608;27 18:23;3;выигрыш
7844;7846;0,20;9,5848;27 19:45;3;выигрыш
7916;7922;0,20;9,7904;27 20:09;7;выигрыш
7961;7962;0,20;10,4144;27 20:21;2;выигрыш
8056;8059;0,20;10,6384;27 20:55;4;выигрыш
8405;8420;0,20;10,8648;27 23:08;16;выигрыш
8476;8476;0,20;11,6888;27 23:26;1;выигрыш
8492;8492;0,20;12,5128;27 23:30;1;выигрыш
8555;8555;0,20;13,3368;27 23:54;1;выигрыш
8744;8745;0,20;13,9608;28 00:58;2;выигрыш
9068;9082;0,20;14,1936;28 02:54;15;выигрыш
9240;9244;0,20;14,4236;28 03:48;5;выигрыш
9365;9365;0,20;15,2476;28 04:33;1;выигрыш
9447;9460;0,21;15,4884;28 05:01;14;выигрыш
9661;9670;0,22;15,7456;28 06:13;10;выигрыш
9793;9798;0,22;15,9964;28 06:56;6;выигрыш
9876;9878;0,22;16,4628;28 07:26;3;выигрыш
9949;9951;0,23;16,9504;28 07:51;3;выигрыш
10081;10082;0,24;17,6992;28 08:37;2;выигрыш
10236;10249;0,25;17,9820;28 09:35;14;выигрыш
10305;10308;0,25;18,2620;28 09:55;4;выигрыш
10338;10341;0,26;18,5532;28 10:04;4;выигрыш
10409;10413;0,26;18,8316;28 10:29;5;выигрыш
10462;10465;0,26;19,1228;28 10:50;4;выигрыш
10533;10534;0,27;19,9652;28 11:13;2;выигрыш
10656;10658;0,28;20,5588;28 11:56;3;выигрыш
10751;10752;0,29;21,4636;28 12:25;2;выигрыш
10887;10890;0,30;21,7996;28 13:13;4;выигрыш
11116;11122;0,31;22,1404;28 14:32;7;выигрыш
11225;11225;0,31;23,4176;28 15:09;1;выигрыш
11422;11434;0,33;23,7648;28 16:27;13;выигрыш
11704;11704;0,33;25,1244;28 18:06;1;выигрыш
11995;11996;0,35;26,2164;28 19:52;2;выигрыш
12121;12135;0,37;26,6140;28 20:37;15;выигрыш
12238;12240;0,38;27,4196;28 21:12;3;выигрыш
12283;12291;0,39;27,8264;28 21:28;9;выигрыш
12307;12308;0,39;29,0432;28 21:33;2;выигрыш
12403;12405;0,41;29,9124;28 22:05;3;выигрыш
12429;12431;0,42;30,8028;28 22:14;3;выигрыш
12464;12464;0,44;32,6156;28 22:25;1;выигрыш
12498;12508;0,46;33,0840;28 22:38;11;выигрыш
12532;12536;0,47;33,5936;28 22:47;5;выигрыш
12665;12668;0,47;34,1200;28 23:33;4;выигрыш
12800;12814;0,48;34,6404;29 00:25;15;выигрыш
12856;12861;0,49;35,1704;29 00:39;6;выигрыш
12924;12929;0,50;35,6916;29 01:01;6;выигрыш
12960;12961;0,50;37,2516;29 01:09;2;выигрыш
13051;13058;0,53;37,8216;29 01:41;8;выигрыш
13174;13182;0,54;38,4012;29 02:22;9;выигрыш
13199;13199;0,54;40,6260;29 02:27;1;выигрыш
13353;13353;0,58;43,0156;29 03:20;1;выигрыш
13509;13514;0,61;43,6572;29 04:16;6;выигрыш
13751;13754;0,62;44,3516;29 05:42;4;выигрыш
13930;13931;0,63;46,3172;29 06:46;2;выигрыш
14001;14002;0,66;48,3764;29 07:10;2;выигрыш
14023;14031;0,69;49,0876;29 07:19;9;выигрыш
14108;14108;0,70;51,9716;29 07:46;1;выигрыш
14278;14281;0,74;52,8004;29 08:44;4;выигрыш
14476;14484;0,75;53,5832;29 09:54;9;выигрыш
14579;14585;0,76;54,3548;29 10:30;7;выигрыш
14857;14865;0,77;55,1436;29 12:05;9;выигрыш
15088;15088;0,78;58,3572;29 13:25;1;выигрыш
15150;15153;0,83;59,2868;29 13:50;4;выигрыш
15317;15317;0,84;62,7476;29 14:51;1;выигрыш
15333;15337;0,89;63,6784;29 14:55;5;выигрыш
15413;15415;0,90;65,5864;29 15:27;3;выигрыш
15558;15566;0,93;66,5304;29 16:22;9;выигрыш
15672;15680;0,95;67,4916;29 17:04;9;выигрыш
15700;15701;0,96;70,4868;29 17:10;2;выигрыш
15766;15771;1,00;71,4880;29 17:34;6;выигрыш
15789;15790;1,02;74,6704;29 17:41;2;выигрыш
15907;15911;1,06;75,7452;29 18:29;5;выигрыш
15949;15951;1,08;78,0348;29 18:44;3;выигрыш
16051;16051;1,11;82,6080;29 19:24;1;выигрыш
16150;16151;1,18;86,2896;29 19:57;2;выигрыш
16226;16227;1,23;90,1272;29 20:23;2;выигрыш
16448;16450;1,28;92,8408;29 21:40;3;выигрыш
16482;16497;1,32;4,2808;29 21:55;16;стоп
16539;16541;0,20;4,7048;29 22:10;3;выигрыш
16650;16650;0,20;5,5288;29 22:48;1;выигрыш
16677;16679;0,20;5,9528;29 22:58;3;выигрыш
16737;16738;0,20;6,5768;29 23:20;2;выигрыш
16987;16999;0,20;6,8172;30 00:49;13;выигрыш
17073;17075;0,20;7,2412;30 01:16;3;выигрыш
17132;17140;0,20;7,4520;30 01:36;9;выигрыш
17167;17168;0,20;8,0760;30 01:46;2;выигрыш
17215;17216;0,20;8,7000;30 02:03;2;выигрыш
17249;17250;0,20;9,3240;30 02:15;2;выигрыш
17428;17432;0,20;9,5540;30 03:19;5;выигрыш
17494;17505;0,20;9,7808;30 03:47;12;выигрыш
17667;17671;0,20;10,0108;30 04:47;5;выигрыш
17719;17720;0,20;10,6348;30 05:06;2;выигрыш
17741;17747;0,20;10,8404;30 05:12;7;выигрыш
17886;17892;0,20;11,0460;30 06:06;7;выигрыш
17966;17971;0,20;11,2732;30 06:34;6;выигрыш
18143;18158;0,20;11,4996;30 07:40;16;выигрыш
18274;18280;0,20;11,7052;30 08:20;7;выигрыш
18326;18327;0,20;12,3292;30 08:35;2;выигрыш
18507;18508;0,20;12,9532;30 09:39;2;выигрыш
18545;18551;0,20;13,1588;30 09:52;7;выигрыш
18677;18679;0,20;13,5828;30 10:39;3;выигрыш
18768;18768;0,20;14,4068;30 11:13;1;выигрыш
19100;19111;0,20;14,6336;30 13:17;12;выигрыш
19202;19213;0,20;14,8604;30 13:50;12;выигрыш
19329;19331;0,21;15,3056;30 14:33;3;выигрыш
19535;19535;0,21;16,1708;30 15:50;1;выигрыш
19567;19577;0,23;16,4156;30 16:07;11;выигрыш
19657;19663;0,23;16,6784;30 16:35;7;выигрыш
19679;19689;0,23;16,9232;30 16:44;11;выигрыш
19880;19880;0,24;17,9120;30 17:51;1;выигрыш
19918;19924;0,25;18,1996;30 18:09;7;выигрыш
19959;19961;0,25;18,7296;30 18:21;3;выигрыш
20070;20070;0,26;19,8008;30 19:01;1;выигрыш
20228;20235;0,28;20,1000;30 20:08;8;выигрыш
20251;20255;0,28;20,3808;30 20:14;5;выигрыш
20423;20432;0,29;20,7080;30 21:19;10;выигрыш
20594;20605;0,29;21,0136;30 22:18;12;выигрыш
20734;20734;0,30;22,2496;30 23:04;1;выигрыш
20826;20828;0,31;22,9068;30 23:35;3;выигрыш
20973;20974;0,32;23,9052;31 00:28;2;выигрыш
21118;21123;0,34;24,2676;31 01:16;6;выигрыш
21328;21338;0,34;24,6264;31 02:30;10;выигрыш
21378;21378;0,35;26,0684;31 02:42;1;выигрыш
21394;21397;0,37;26,4828;31 02:47;4;выигрыш
21417;21418;0,37;27,6372;31 02:53;2;выигрыш
21512;21512;0,39;29,2440;31 03:24;1;выигрыш
21639;21643;0,41;29,6640;31 04:08;5;выигрыш
21948;21959;0,42;30,0960;31 06:04;12;выигрыш
22149;22151;0,42;30,9864;31 07:16;3;выигрыш
22234;22238;0,44;31,4512;31 07:48;5;выигрыш
22369;22383;0,44;31,8976;31 08:39;15;выигрыш
22544;22549;0,45;32,3492;31 09:37;6;выигрыш
22657;22657;0,46;34,2444;31 10:18;1;выигрыш
22875;22876;0,48;35,7420;31 11:40;2;выигрыш
22936;22936;0,51;37,8432;31 12:01;1;выигрыш
22952;22952;0,54;40,0680;31 12:05;1;выигрыш
23149;23155;0,57;40,6676;31 13:13;7;выигрыш
23301;23313;0,58;41,2712;31 14:09;13;выигрыш
23351;23353;0,58;42,5008;31 14:23;3;выигрыш
23458;23462;0,60;43,1084;31 15:00;5;выигрыш
23646;23650;0,61;43,7584;31 16:06;5;выигрыш
23750;23751;0,62;45,6928;31 16:43;2;выигрыш
23894;23904;0,65;46,3532;31 17:36;11;выигрыш
23997;24007;0,66;47,0296;31 18:11;11;выигрыш
24030;24041;0,67;47,7084;31 18:21;12;выигрыш
24127;24128;0,68;49,8300;31 18:50;2;выигрыш
24147;24162;0,71;2,0300;31 19:02;16;стоп
24203;24203;0,20;2,8540;31 19:16;1;выигрыш
24365;24371;0,20;3,0596;31 20:22;7;выигрыш
24494;24496;0,20;3,4836;31 21:09;3;выигрыш
24574;24574;0,20;4,3076;31 21:34;1;выигрыш
24775;24778;0,20;4,5316;31 22:43;4;выигрыш
24970;24976;0,20;4,7372;31 23:53;7;выигрыш
25177;25180;0,20;4,9612;1 01:05;4;выигрыш
25311;25313;0,20;5,3852;1 01:53;3;выигрыш
25546;25550;0,20;5,6152;1 03:12;5;выигрыш
25615;25621;0,20;5,8208;1 03:36;7;выигрыш
25668;25669;0,20;6,4448;1 03:52;2;выигрыш
25699;25701;0,20;6,8688;1 04:02;3;выигрыш
25758;25761;0,20;7,0928;1 04:21;4;выигрыш
25794;25796;0,20;7,5168;1 04:31;3;выигрыш
25824;25833;0,20;7,7556;1 04:43;10;выигрыш
25978;25978;0,20;8,5796;1 05:32;1;выигрыш
26099;26101;0,20;9,0036;1 06:16;3;выигрыш
26122;26122;0,20;9,8276;1 06:23;1;выигрыш
26278;26285;0,20;10,0652;1 07:21;8;выигрыш
26736;26745;0,20;10,3040;1 10:04;10;выигрыш
27069;27069;0,20;11,1280;1 11:59;1;выигрыш
27142;27145;0,20;11,3520;1 12:26;4;выигрыш
27224;27227;0,20;11,5760;1 12:57;4;выигрыш
27364;27366;0,20;12,0000;1 13:53;3;выигрыш
27403;27403;0,20;12,8240;1 14:04;1;выигрыш
27658;27658;0,20;13,6480;1 15:35;1;выигрыш
27745;27754;0,20;13,8868;1 16:10;10;выигрыш
28003;28005;0,20;14,3108;1 17:48;3;выигрыш
28107;28114;0,20;14,5484;1 18:25;8;выигрыш
28282;28282;0,20;15,3724;1 19:24;1;выигрыш
28316;28327;0,21;15,6052;1 19:40;12;выигрыш
28349;28356;0,22;15,8376;1 19:49;8;выигрыш
28399;28403;0,22;16,0700;1 20:13;5;выигрыш
28663;28663;0,22;16,9764;1 21:38;1;выигрыш
28788;28793;0,24;17,2408;1 22:27;6;выигрыш
28903;28904;0,24;17,9896;1 23:05;2;выигрыш
28931;28934;0,25;18,2696;1 23:15;4;выигрыш
29007;29010;0,26;18,5608;1 23:40;4;выигрыш
29093;29100;0,26;18,8552;2 00:11;8;выигрыш
29431;29431;0,26;19,9264;2 02:06;1;выигрыш
29874;29879;0,28;20,2380;2 04:42;6;выигрыш
29967;29967;0,28;21,3916;2 05:12;1;выигрыш
29985;29987;0,30;22,0276;2 05:18;3;выигрыш
30157;30157;0,31;23,3048;2 06:22;1;выигрыш
