id входа;id;начальная ставка;депозит после цикла;Время;порядковый номер шага;результат
33322;33322;0,20;102,8798;3 01:10;1;выигрыш
33340;33341;0,20;103,5138;3 01:16;2;выигрыш
33356;33356;0,20;104,3478;3 01:19;1;выигрыш
33371;33374;0,20;104,5818;3 01:25;4;выигрыш
33389;33391;0,20;105,0158;3 01:28;3;выигрыш
33409;33410;0,20;105,6498;3 01:35;2;выигрыш
33440;33442;0,20;106,0838;3 01:47;3;выигрыш
33502;33507;0,20;106,2948;3 02:06;6;выигрыш
33522;33527;0,20;106,5058;3 02:12;6;выигрыш
33695;33703;0,20;106,7127;3 03:11;9;выигрыш
33997;33997;0,20;107,5467;3 04:55;1;выигрыш
34063;34067;0,20;107,7475;3 05:19;5;выигрыш
34147;34153;0,20;107,9504;3 05:48;7;выигрыш
34239;34249;0,20;108,1700;3 06:20;11;выигрыш
34312;34312;0,20;109,0040;3 06:40;1;выигрыш
34376;34385;0,20;109,2247;3 07:13;10;выигрыш
34459;34463;0,20;109,4255;3 07:41;5;выигрыш
34496;34503;0,20;109,6337;3 07:53;8;выигрыш
34547;34549;0,20;110,0677;3 08:07;3;выигрыш
34576;34579;0,20;110,3017;3 08:17;4;выигрыш
34711;34727;0,20;110,5357;3 09:07;17;выигрыш
34969;34969;0,20;111,3697;3 10:37;1;выигрыш
35080;35083;0,20;111,6037;3 11:15;4;выигрыш
35183;35187;0,20;111,8045;3 11:52;5;выигрыш
35314;35330;0,20;95,4945;3 12:42;17;стоп
35438;35442;0,20;95,6953;3 13:19;5;выигрыш
35588;35595;0,20;95,9035;3 14:15;8;выигрыш
35863;35870;0,20;96,1117;3 15:56;8;выигрыш
35970;35979;0,20;96,3324;3 16:34;10;выигрыш
35994;35994;0,20;97,1664;3 16:39;1;выигрыш
36025;36027;0,20;97,6004;3 16:52;3;выигрыш
36070;36071;0,20;98,2344;3 17:08;2;выигрыш
36119;36123;0,20;98,4352;3 17:24;5;выигрыш
36138;36138;0,20;99,2692;3 17:29;1;выигрыш
36222;36224;0,20;99,7032;3 18:00;3;выигрыш
36358;36361;0,20;99,9372;3 18:52;4;выигрыш
36924;36927;0,20;100,1712;3 22:13;4;выигрыш
36952;36954;0,20;100,6052;3 22:21;3;выигрыш
37048;37052;0,20;100,8060;3 22:56;5;выигрыш
37441;37449;0,20;101,0129;4 01:14;9;выигрыш
37525;37541;0,20;101,2469;4 01:43;17;выигрыш
37643;37644;0,20;101,8809;4 02:17;2;выигрыш
37806;37807;0,20;102,5149;4 03:18;2;выигрыш
37929;37930;0,20;103,1489;4 04:05;2;выигрыш
37969;37979;0,20;103,3685;4 04:20;11;выигрыш
37994;37999;0,20;103,5795;4 04:26;6;выигрыш
38023;38031;0,20;103,7864;4 04:36;9;выигрыш
38069;38069;0,20;104,6204;4 04:49;1;выигрыш
38202;38203;0,20;105,2544;4 05:37;2;выигрыш
38275;38282;0,20;105,4626;4 06:04;8;выигрыш
38345;38345;0,20;106,2966;4 06:24;1;выигрыш
38428;38431;0,20;106,5306;4 06:54;4;выигрыш
38721;38725;0,20;106,7314;4 08:41;5;выигрыш
38822;38823;0,20;107,3654;4 09:14;2;выигрыш
38838;38840;0,20;107,7994;4 09:19;3;выигрыш
38972;38973;0,20;108,4334;4 10:10;2;выигрыш
39045;39045;0,20;109,2674;4 10:38;1;выигрыш
39145;39155;0,20;109,4870;4 11:17;11;выигрыш
39170;39176;0,20;109,6899;4 11:23;7;выигрыш
39245;39248;0,20;109,9239;4 11:49;4;выигрыш
39278;39293;0,20;110,1525;4 12:04;16;выигрыш
39320;39333;0,20;110,3881;4 12:16;14;выигрыш
39542;39542;0,20;111,2221;4 13:39;1;выигрыш
