id входа;id;начальная ставка;депозит после цикла;Время;порядковый номер шага;результат
29;31;0,20;17,4340;25 21:19;3;выигрыш
49;61;0,20;17,6435;25 21:28;13;выигрыш
224;224;0,20;18,4775;25 22:23;1;выигрыш
247;249;0,21;18,9332;25 22:32;3;выигрыш
396;406;0,22;19,1681;25 23:27;11;выигрыш
704;719;0,22;19,4009;26 01:17;16;выигрыш
1057;1057;0,22;20,3183;26 03:15;1;выигрыш
1112;1116;0,23;20,5659;26 03:32;5;выигрыш
1166;1167;0,24;21,3267;26 03:48;2;выигрыш
1190;1191;0,25;22,1192;26 03:57;2;выигрыш
1353;1354;0,26;22,9434;26 04:52;2;выигрыш
1416;1421;0,26;23,2097;26 05:16;6;выигрыш
1548;1564;0,27;23,5209;26 06:01;17;выигрыш
1598;1600;0,27;24,1068;26 06:14;3;выигрыш
1620;1627;0,28;24,4173;26 06:23;8;выигрыш
1722;1726;0,28;24,7151;26 06:57;5;выигрыш
1761;1763;0,29;25,3444;26 07:08;3;выигрыш
2095;2098;0,29;25,6837;26 09:10;4;выигрыш
2142;2142;0,30;26,9347;26 09:25;1;выигрыш
2191;2192;0,31;27,9174;26 09:40;2;выигрыш
2274;2280;0,32;28,2694;26 10:07;7;выигрыш
2321;2321;0,33;29,6455;26 10:20;1;выигрыш
2423;2423;0,34;31,0633;26 10:59;1;выигрыш
2459;2460;0,36;32,2045;26 11:11;2;выигрыш
2481;2481;0,37;33,7474;26 11:17;1;выигрыш
2627;2633;0,39;34,1715;26 12:12;7;выигрыш
2758;2760;0,40;35,0395;26 13:01;3;выигрыш
2826;2827;0,41;36,3392;26 13:25;2;выигрыш
2866;2866;0,42;38,0906;26 13:37;1;выигрыш
3170;3174;0,44;38,5407;26 15:27;5;выигрыш
3217;3223;0,45;38,9918;26 15:45;7;выигрыш
3296;3298;0,45;39,9683;26 16:13;3;выигрыш
3481;3482;0,47;41,4582;26 17:23;2;выигрыш
3584;3600;0,48;41,9704;26 18:09;17;выигрыш
3737;3738;0,49;43,5237;26 19:04;2;выигрыш
3943;3946;0,51;44,1204;26 20:29;4;выигрыш
4018;4020;0,51;45,2271;26 20:59;3;выигрыш
4152;4155;0,53;45,8472;26 21:57;4;выигрыш
4253;4254;0,53;47,5273;26 22:33;2;выигрыш
4279;4279;0,55;49,8208;26 22:40;1;выигрыш
4382;4390;0,58;50,4330;26 23:19;9;выигрыш
4567;4567;0,59;52,8933;27 00:26;1;выигрыш
4634;4641;0,62;53,5464;27 00:50;8;выигрыш
4680;4687;0,62;54,1995;27 01:05;8;выигрыш
4752;4755;0,63;54,9366;27 01:27;4;выигрыш
4770;4786;0,64;2,9066;27 01:35;17;стоп
4851;4851;0,20;3,7406;27 02:00;1;выигрыш
4985;4985;0,20;4,5746;27 02:42;1;выигрыш
5262;5263;0,20;5,2086;27 04:16;2;выигрыш
5577;5591;0,20;5,4322;27 06:09;15;выигрыш
5839;5848;0,20;5,6529;27 07:44;10;выигрыш
5905;5909;0,20;5,8537;27 08:04;5;выигрыш
6034;6035;0,20;6,4877;27 08:56;2;выигрыш
