id входа;id;начальная ставка;депозит после цикла;Время;порядковый номер шага;результат
31;31;0,20;24,7920;25 21:19;1;выигрыш
51;61;0,20;24,9920;25 21:28;11;выигрыш
249;249;0,20;25,7840;25 22:32;1;выигрыш
398;406;0,20;25,9984;25 23:27;9;выигрыш
706;719;0,20;26,1996;26 01:17;14;выигрыш
1114;1116;0,20;26,5916;26 03:32;3;выигрыш
1418;1421;0,20;26,8232;26 05:16;4;выигрыш
1550;1564;0,20;27,0344;26 06:01;15;выигрыш
1600;1600;0,20;27,8264;26 06:14;1;выигрыш
1625;1627;0,20;28,2184;26 06:23;3;выигрыш
1724;1726;0,20;28,6104;26 06:57;3;выигрыш
1763;1763;0,20;29,4024;26 07:08;1;выигрыш
2097;2098;0,20;29,9944;26 09:10;2;выигрыш
2276;2280;0,20;30,2140;26 10:07;5;выигрыш
2629;2633;0,20;30,4336;26 12:12;5;выигрыш
2760;2760;0,20;31,2256;26 13:01;1;выигрыш
3172;3174;0,20;31,6176;26 15:27;3;выигрыш
3219;3223;0,20;31,8372;26 15:45;5;выигрыш
3298;3298;0,20;32,6292;26 16:13;1;выигрыш
3586;3600;0,20;32,8404;26 18:09;15;выигрыш
3945;3946;0,20;33,4324;26 20:29;2;выигрыш
4020;4020;0,20;34,2244;26 20:59;1;выигрыш
4154;4155;0,20;34,8164;26 21:57;2;выигрыш
4384;4390;0,20;35,0400;26 23:19;7;выигрыш
4636;4641;0,20;35,2768;27 00:50;6;выигрыш
4682;4687;0,20;35,5136;27 01:05;6;выигрыш
4754;4755;0,20;36,1056;27 01:27;2;выигрыш
4772;4789;0,20;36,3312;27 01:38;18;выигрыш
5579;5591;0,20;36,5680;27 06:09;13;выигрыш
5907;5909;0,20;36,9600;27 08:04;3;выигрыш
6109;6110;0,20;37,5520;27 09:23;2;выигрыш
6140;6144;0,20;37,7716;27 09:35;5;выигрыш
6285;6289;0,20;37,9912;27 10:26;5;выигрыш
6340;6345;0,20;38,2280;27 10:42;6;выигрыш
6490;6491;0,20;38,8200;27 11:37;2;выигрыш
6638;6641;0,20;39,0516;27 12:31;4;выигрыш
6770;6770;0,20;39,8436;27 13:20;1;выигрыш
6787;6787;0,20;40,6356;27 13:26;1;выигрыш
6825;6829;0,20;40,8552;27 13:38;5;выигрыш
6925;6934;0,20;41,0632;27 14:14;10;выигрыш
7008;7011;0,20;41,2948;27 14:42;4;выигрыш
7408;7414;0,20;41,5184;27 17:07;7;выигрыш
7460;7472;0,20;41,7552;27 17:25;13;выигрыш
7509;7510;0,20;42,3472;27 17:38;2;выигрыш
7628;7629;0,20;42,9392;27 18:23;2;выигрыш
7845;7846;0,20;43,5312;27 19:45;2;выигрыш
7917;7922;0,20;43,7680;27 20:09;6;выигрыш
7962;7962;0,20;44,5600;27 20:21;1;выигрыш
8057;8059;0,20;44,9520;27 20:55;3;выигрыш
8406;8420;0,20;45,1632;27 23:08;15;выигрыш
8745;8745;0,20;45,9552;28 00:58;1;выигрыш
9069;9078;0,20;46,1632;28 02:53;10;выигрыш
9241;9244;0,20;46,3948;28 03:48;4;выигрыш
9448;9460;0,20;46,6316;28 05:01;13;выигрыш
9662;9670;0,20;46,8460;28 06:13;9;выигрыш
9794;9798;0,20;47,0656;28 06:56;5;выигрыш
9877;9878;0,20;47,6576;28 07:26;2;выигрыш
10082;10082;0,20;48,4496;28 08:37;1;выигрыш
10237;10249;0,20;48,6864;28 09:35;13;выигрыш
10306;10308;0,20;49,0784;28 09:55;3;выигрыш
10339;10341;0,20;49,4704;28 10:04;3;выигрыш
10410;10413;0,20;49,7020;28 10:29;4;выигрыш
10534;10534;0,20;50,4940;28 11:13;1;выигрыш
10752;10752;0,20;51,2860;28 12:25;1;выигрыш
10888;10890;0,20;51,6780;28 13:13;3;выигрыш
11117;11122;0,20;51,9148;28 14:32;6;выигрыш
11996;11996;0,20;52,7068;28 19:52;1;выигрыш
12122;12135;0,20;52,9080;28 20:37;14;выигрыш
12239;12240;0,20;53,5000;28 21:12;2;выигрыш
12284;12287;0,20;53,7316;28 21:27;4;выигрыш
12308;12308;0,20;54,5236;28 21:33;1;выигрыш
12404;12405;0,20;55,1156;28 22:05;2;выигрыш
12430;12431;0,20;55,7076;28 22:14;2;выигрыш
12499;12508;0,20;55,9156;28 22:38;10;выигрыш
12533;12536;0,20;56,1472;28 22:47;4;выигрыш
12666;12668;0,20;56,5392;28 23:33;3;выигрыш
12801;12814;0,20;56,7404;29 00:25;14;выигрыш
12857;12861;0,20;56,9600;29 00:39;5;выигрыш
12961;12961;0,20;57,7520;29 01:09;1;выигрыш
13052;13058;0,20;57,9756;29 01:41;7;выигрыш
13510;13514;0,20;58,1952;29 04:16;5;выигрыш
13931;13931;0,20;58,9872;29 06:46;1;выигрыш
14002;14002;0,20;59,7792;29 07:10;1;выигрыш
14024;14024;0,20;60,5712;29 07:19;1;выигрыш
14279;14281;0,20;60,9632;29 08:44;3;выигрыш
14477;14484;0,20;61,1728;29 09:54;8;выигрыш
14580;14585;0,20;61,4096;29 10:30;6;выигрыш
14858;14865;0,20;61,6192;29 12:05;8;выигрыш
15151;15153;0,20;62,0112;29 13:50;3;выигрыш
15334;15337;0,20;62,2428;29 14:55;4;выигрыш
15414;15415;0,20;62,8348;29 15:27;2;выигрыш
15559;15566;0,20;63,0444;29 16:22;8;выигрыш
15673;15680;0,20;63,2540;29 17:04;8;выигрыш
15701;15701;0,20;64,0460;29 17:10;1;выигрыш
15767;15771;0,20;64,2656;29 17:34;5;выигрыш
15790;15790;0,20;65,0576;29 17:41;1;выигрыш
15908;15911;0,20;65,2892;29 18:29;4;выигрыш
15950;15951;0,20;65,8812;29 18:44;2;выигрыш
16151;16151;0,20;66,6732;29 19:57;1;выигрыш
16227;16227;0,20;67,4652;29 20:23;1;выигрыш
16449;16450;0,20;68,0572;29 21:40;2;выигрыш
16483;16485;0,20;68,4492;29 21:52;3;выигрыш
16502;16504;0,20;68,8412;29 21:58;3;выигрыш
16540;16541;0,20;69,4332;29 22:10;2;выигрыш
16738;16738;0,20;70,2252;29 23:20;1;выигрыш
16988;16999;0,20;70,4548;30 00:49;12;выигрыш
17133;17140;0,20;70,6644;30 01:36;8;выигрыш
17216;17216;0,20;71,4564;30 02:03;1;выигрыш
17429;17432;0,20;71,6880;30 03:19;4;выигрыш
17495;17505;0,20;71,8880;30 03:47;11;выигрыш
17668;17671;0,20;72,1196;30 04:47;4;выигрыш
17720;17720;0,20;72,9116;30 05:06;1;выигрыш
17742;17747;0,20;73,1484;30 05:12;6;выигрыш
