id входа;id;начальная ставка;депозит после цикла;Время;порядковый номер шага;результат
35316;35331;7,49;907,1284;3 12:43;16;выигрыш
35440;35442;7,55;921,9264;3 13:19;3;выигрыш
35590;35595;7,68;929,6392;3 14:15;6;выигрыш
35865;35870;7,74;937,3884;3 15:56;6;выигрыш
35972;35979;7,81;945,2312;3 16:34;8;выигрыш
36027;36027;7,87;976,3964;3 16:52;1;выигрыш
36123;36123;8,13;1008,5912;3 17:24;1;выигрыш
36224;36224;8,40;1041,8552;3 18:00;1;выигрыш
36360;36361;8,68;1067,5480;3 18:52;2;выигрыш
36926;36927;8,89;1093,8624;3 22:13;2;выигрыш
36954;36954;9,11;1129,9380;3 22:21;1;выигрыш
37050;37052;9,41;1148,3816;3 22:56;3;выигрыш
37527;37541;9,56;1157,9520;4 01:43;15;выигрыш
38025;38031;9,64;1167,6064;4 04:36;7;выигрыш
38277;38282;9,73;1177,3692;4 06:04;6;выигрыш
38430;38431;9,81;1206,4068;4 06:54;2;выигрыш
38723;38725;10,05;1226,1048;4 08:41;3;выигрыш
38840;38840;10,21;1266,5364;4 09:19;1;выигрыш
39147;39155;10,55;1277,0920;4 11:17;9;выигрыш
39172;39176;10,64;1287,7632;4 11:23;5;выигрыш
39247;39248;10,73;1319,5240;4 11:49;2;выигрыш
39280;39293;10,99;1330,5524;4 12:04;14;выигрыш
39322;39333;11,08;1341,6392;4 12:16;12;выигрыш
