id входа;id;начальная ставка;депозит после цикла;Время;порядковый номер шага;результат
34148;34153;0,20;95,1264;3 05:48;6;выигрыш
34240;34249;0,20;95,3652;3 06:20;10;выигрыш
34377;34385;0,20;95,5760;3 07:13;9;выигрыш
34460;34463;0,20;95,8000;3 07:41;4;выигрыш
34497;34503;0,20;96,0056;3 07:53;7;выигрыш
34548;34549;0,20;96,6296;3 08:07;2;выигрыш
34577;34579;0,20;97,0536;3 08:17;3;выигрыш
34712;34727;0,20;97,2800;3 09:07;16;выигрыш
35081;35083;0,20;97,7040;3 11:15;3;выигрыш
35184;35187;0,20;97,9280;3 11:52;4;выигрыш
35315;35330;0,20;84,2280;3 12:42;16;стоп
35439;35442;0,20;84,4520;3 13:19;4;выигрыш
35589;35595;0,20;84,6576;3 14:15;7;выигрыш
35864;35870;0,20;84,8632;3 15:56;7;выигрыш
35971;35979;0,20;85,0740;3 16:34;9;выигрыш
36026;36027;0,20;85,6980;3 16:52;2;выигрыш
36071;36071;0,20;86,5220;3 17:08;1;выигрыш
36120;36123;0,20;86,7460;3 17:24;4;выигрыш
36223;36224;0,20;87,3700;3 18:00;2;выигрыш
36359;36361;0,20;87,7940;3 18:52;3;выигрыш
36925;36927;0,20;88,2180;3 22:13;3;выигрыш
36953;36954;0,20;88,8420;3 22:21;2;выигрыш
37049;37052;0,20;89,0660;3 22:56;4;выигрыш
37442;37449;0,20;89,3036;4 01:14;8;выигрыш
37526;37541;0,20;89,5300;4 01:43;16;выигрыш
37644;37644;0,20;90,3540;4 02:17;1;выигрыш
37807;37807;0,20;91,1780;4 03:18;1;выигрыш
37930;37930;0,20;92,0020;4 04:05;1;выигрыш
37970;37979;0,20;92,2408;4 04:20;10;выигрыш
37995;37999;0,20;92,4708;4 04:26;5;выигрыш
38024;38031;0,20;92,7084;4 04:36;8;выигрыш
38203;38203;0,20;93,5324;4 05:37;1;выигрыш
38276;38282;0,20;93,7380;4 06:04;7;выигрыш
38429;38431;0,20;94,1620;4 06:54;3;выигрыш
38722;38725;0,20;94,3860;4 08:41;4;выигрыш
38823;38823;0,20;95,2100;4 09:14;1;выигрыш
38839;38840;0,20;95,8340;4 09:19;2;выигрыш
38973;38973;0,20;96,6580;4 10:10;1;выигрыш
39146;39155;0,20;96,8968;4 11:17;10;выигрыш
39171;39176;0,20;97,1240;4 11:23;6;выигрыш
39246;39248;0,20;97,5480;4 11:49;3;выигрыш
39279;39293;0,20;97,7808;4 12:04;15;выигрыш
39321;39333;0,20;98,0212;4 12:16;13;выигрыш
