id;начальная ставка;депозит после выигрыша;Время;порядковый номер выигрышного шага
25825;10,55;1065,7260;;3
25904;10,65;1080,6360;;2
25962;10,80;1106,5560;;1
26095;11,06;1122,0400;;2
26120;11,22;1137,7480;;2
26285;11,37;1149,1240;;4
26400;11,49;1176,7000;;1
26529;11,76;1193,1640;;2
26580;11,93;1205,1120;;3
26740;12,05;1217,1800;;3
26888;12,17;1229,3640;;4
26915;12,29;1241,6720;;3
26958;12,41;1254,0880;;5
27053;12,54;1266,6460;;5
27137;12,66;1297,0300;;1
27378;12,97;1315,1880;;2
27399;13,15;1333,5980;;2
27427;13,33;1346,9320;;4
27541;13,46;1360,3980;;4
27610;13,60;1379,4380;;2
27624;13,79;1393,2500;;4
27655;13,93;1407,1980;;3
28040;14,07;1421,2680;;5
28111;14,21;1441,1620;;2
28220;14,41;1461,3360;;2
