id входа;id;начальная ставка;депозит после цикла;Время;порядковый номер шага;результат
35976;35979;3,07;239,9160;3 16:34;4;выигрыш
37447;37449;3,11;246,5092;4 01:14;3;выигрыш
37531;37541;3,20;249,7376;4 01:43;11;выигрыш
37975;37979;3,24;253,0104;4 04:20;5;выигрыш
38029;38031;3,28;259,9640;4 04:36;3;выигрыш
38281;38282;3,37;270,4784;4 06:04;2;выигрыш
39151;39155;3,51;273,9896;4 11:17;5;выигрыш
39176;39176;3,56;288,6568;4 11:23;1;выигрыш
39284;39293;3,75;292,4380;4 12:04;10;выигрыш
39326;39333;3,80;296,2512;4 12:16;8;выигрыш
39628;39629;3,85;308,2632;4 14:10;2;выигрыш
39684;39686;4,00;316,7432;4 14:28;3;выигрыш
39908;39918;4,11;320,8800;4 15:52;11;выигрыш
40401;40406;4,17;325,0860;4 18:48;6;выигрыш
40433;40437;4,22;329,3416;4 18:59;5;выигрыш
40458;40458;4,28;346,9752;4 19:06;1;выигрыш
40584;40584;4,51;365,5564;4 19:50;1;выигрыш
40948;40949;4,75;380,3764;4 22:01;2;выигрыш
40988;40991;4,94;385,9092;4 22:15;4;выигрыш
41025;41029;5,01;390,9600;4 22:26;5;выигрыш
42085;42090;5,08;396,0704;5 04:36;6;выигрыш
42498;42508;5,14;283,5104;5 06:58;11;стоп
43062;43065;3,68;287,6320;5 10:06;4;выигрыш
43211;43215;3,73;291,3756;5 10:58;5;выигрыш
43282;43282;3,78;306,9492;5 11:19;1;выигрыш
43535;43543;3,99;310,9564;5 12:54;9;выигрыш
44018;44027;4,04;315,0224;5 15:46;10;выигрыш
44474;44477;4,09;319,6032;5 18:29;4;выигрыш
44917;44927;4,15;228,7332;5 21:11;11;стоп
45359;45360;2,97;237,9996;6 07:28;2;выигрыш
45417;45419;3,09;244,5504;6 07:47;3;выигрыш
45646;45647;3,17;254,4408;6 09:00;2;выигрыш
45791;45797;3,30;257,7536;6 09:51;7;выигрыш
45908;45908;3,35;271,5556;6 10:30;1;выигрыш
46331;46332;3,53;282,5692;6 12:56;2;выигрыш
46646;46653;3,67;286,2664;6 14:49;8;выигрыш
46679;46689;3,72;204,7664;6 15:00;11;стоп
47180;47188;2,66;207,4516;6 18:06;9;выигрыш
47244;47246;2,69;213,1544;6 18:26;3;выигрыш
48524;48524;2,77;224,5668;7 01:39;1;выигрыш
48856;48862;2,91;227,4820;7 03:39;7;выигрыш
49023;49024;2,95;236,6860;7 04:34;2;выигрыш
49315;49319;3,07;239,7736;7 06:13;5;выигрыш
49505;49505;3,11;252,5868;7 07:16;1;выигрыш
49805;49805;3,28;266,1004;7 08:57;1;выигрыш
50509;50511;3,45;273,4144;7 13:10;3;выигрыш
52431;52434;3,55;277,3904;8 00:29;4;выигрыш
52891;52895;3,60;280,9948;8 03:09;5;выигрыш
53043;53044;3,65;292,3828;8 03:58;2;выигрыш
54765;54766;3,80;304,2388;8 14:28;2;выигрыш
55013;55014;3,95;316,5628;8 16:00;2;выигрыш
55071;55071;4,11;333,4960;8 16:20;1;выигрыш
55141;55141;4,33;351,3356;8 16:49;1;выигрыш
55277;55277;4,56;370,1228;8 17:43;1;выигрыш
55593;55600;4,81;374,9480;8 19:39;8;выигрыш
55941;55944;4,87;380,4024;8 21:44;4;выигрыш
56016;56016;4,94;400,7552;8 22:07;1;выигрыш
56082;56090;5,20;405,9624;8 22:32;9;выигрыш
56506;56516;5,27;290,5724;9 00:57;11;стоп
57435;57438;3,77;294,7948;9 06:21;4;выигрыш
57670;57673;3,83;299,0844;9 07:37;4;выигрыш
58519;58526;3,88;303,0004;9 12:36;8;выигрыш
58711;58716;3,93;306,9420;9 13:49;6;выигрыш
58758;58760;3,99;315,4008;9 14:05;3;выигрыш
58787;58788;4,10;328,1928;9 14:14;2;выигрыш
59230;59235;4,26;332,4744;9 16:58;6;выигрыш
59518;59518;4,32;350,2728;9 18:41;1;выигрыш
59938;59938;4,55;369,0188;9 21:14;1;выигрыш
60004;60007;4,79;374,3836;9 21:36;4;выигрыш
60105;60109;4,86;379,2516;9 22:09;5;выигрыш
60370;60379;4,93;384,2116;9 23:40;10;выигрыш
60404;60404;4,99;404,7704;9 23:48;1;выигрыш
60459;60464;5,26;410,0532;10 00:08;6;выигрыш
60610;60613;5,33;416,0228;10 00:58;4;выигрыш
60948;60950;5,40;427,4708;10 02:58;3;выигрыш
61070;61072;5,55;439,2368;10 03:39;3;выигрыш
61121;61131;5,71;314,1968;10 03:56;11;стоп
61208;61214;4,08;318,3160;10 04:23;7;выигрыш
61512;61513;4,13;331,2016;10 06:03;2;выигрыш
61733;61733;4,30;348,9176;10 07:18;1;выигрыш
62199;62205;4,53;353,4776;10 10:07;7;выигрыш
62317;62317;4,59;372,3884;10 10:47;1;выигрыш
62823;62830;4,84;377,2320;10 13:46;8;выигрыш
63125;63125;4,90;397,4200;10 15:22;1;выигрыш
63352;63352;5,16;418,6792;10 16:55;1;выигрыш
63525;63525;5,44;441,0920;10 17:55;1;выигрыш
64094;64104;5,73;315,5820;10 21:17;11;стоп
64164;64164;4,10;332,4740;10 21:36;1;выигрыш
64260;64261;4,32;345,9524;10 22:12;2;выигрыш
64330;64339;4,49;350,4828;10 22:38;10;выигрыш
64495;64496;4,55;364,6788;10 23:28;2;выигрыш
65296;65299;4,74;369,9876;11 03:57;4;выигрыш
65375;65384;4,80;374,8012;11 04:27;10;выигрыш
66005;66010;4,87;379,6832;11 08:04;6;выигрыш
66507;66507;4,93;399,9948;11 11:04;1;выигрыш
66641;66648;5,19;405,1856;11 11:51;8;выигрыш
66803;66803;5,26;426,8568;11 12:46;1;выигрыш
66871;66873;5,54;438,6016;11 13:12;3;выигрыш
67112;67114;5,70;450,6856;11 14:37;3;выигрыш
67386;67389;5,85;457,2376;11 16:16;4;выигрыш
67479;67486;5,94;463,1884;11 16:53;8;выигрыш
67845;67847;6,02;475,9508;11 18:59;3;выигрыш
68137;68137;6,18;501,4124;11 20:39;1;выигрыш
68340;68340;6,51;528,2336;11 21:52;1;выигрыш
68544;68550;6,86;535,0968;11 23:03;7;выигрыш
68869;68872;6,95;542,8808;12 00:56;4;выигрыш
69573;69581;7,05;549,9612;12 05:03;9;выигрыш
70125;70131;7,14;557,1280;12 08:14;7;выигрыш
70289;70294;7,24;564,3684;12 09:08;6;выигрыш
71391;71391;7,33;594,5680;12 15:41;1;выигрыш
72159;72160;7,72;618,6544;12 20:23;2;выигрыш
72814;72817;8,04;627,6592;13 00:14;4;выигрыш
73144;73151;8,15;635,8180;13 02:05;8;выигрыш
73341;73348;8,26;644,1080;13 03:13;8;выигрыш
73585;73590;8,37;652,5036;13 04:39;6;выигрыш
74252;74255;8,48;662,0012;13 08:38;4;выигрыш
74312;74312;8,60;697,4332;13 08:59;1;выигрыш
74478;74481;9,06;707,5804;13 09:58;4;выигрыш
74652;74653;9,19;736,2532;13 11:01;2;выигрыш
75058;75068;9,57;526,7232;13 13:24;11;стоп
75509;75510;6,84;548,0640;13 16:06;2;выигрыш
76038;76039;7,12;570,2784;13 19:20;2;выигрыш
76233;76233;7,41;600,8076;13 20:25;1;выигрыш
76386;76387;7,81;625,1748;13 21:21;2;выигрыш
76934;76934;8,12;658,6292;14 00:21;1;выигрыш
76970;76970;8,56;693,8964;14 00:32;1;выигрыш
77151;77156;9,02;702,9396;14 01:36;6;выигрыш
77407;77410;9,13;713,1652;14 02:59;4;выигрыш
77473;77475;9,27;732,8176;14 03:19;3;выигрыш
77508;77512;9,52;742,3648;14 03:31;5;выигрыш
77768;77774;9,65;752,0156;14 05:04;7;выигрыш
77982;77985;9,77;762,9580;14 06:19;4;выигрыш
78151;78159;9,91;772,8708;14 07:18;9;выигрыш
78397;78398;10,04;804,1956;14 08:37;2;выигрыш
78537;78537;10,45;847,2496;14 09:25;1;выигрыш
78904;78911;11,01;858,2676;14 11:42;8;выигрыш
79226;79228;11,15;881,9056;14 13:31;3;выигрыш
79328;79328;11,46;929,1208;14 14:11;1;выигрыш
79467;79468;12,07;966,7792;14 15:05;2;выигрыш
80162;80162;12,56;1018,5264;14 19:05;1;выигрыш
80414;80415;13,24;1059,8352;14 20:45;2;выигрыш
80572;80573;13,77;1102,7976;14 21:34;2;выигрыш
81805;81806;14,33;1147,5072;15 04:49;2;выигрыш
82442;82445;14,91;1164,2064;15 08:22;4;выигрыш
83080;83080;15,13;1226,5420;15 12:11;1;выигрыш
83157;83166;15,94;1242,4940;15 12:39;10;выигрыш
83329;83337;16,15;1258,6540;15 13:35;9;выигрыш
83461;83471;16,36;900,5240;15 14:22;11;стоп
83515;83516;11,70;937,0280;15 14:37;2;выигрыш
83549;83549;12,18;987,2096;15 14:47;1;выигрыш
84769;84769;12,83;1040,0692;15 21:57;1;выигрыш
85777;85782;13,52;1053,6272;16 03:50;6;выигрыш
86005;86010;13,69;1067,3252;16 05:03;6;выигрыш
86063;86065;13,87;1096,7296;16 05:21;3;выигрыш
86535;86535;14,25;1155,4396;16 08:05;1;выигрыш
87539;87543;15,02;1170,4672;16 14:11;5;выигрыш
87919;87919;15,21;1233,1324;16 16:29;1;выигрыш
87945;87950;16,03;1249,1740;16 16:38;6;выигрыш
88241;88251;16,23;893,9040;16 18:24;11;стоп
89682;89688;11,62;905,5588;17 02:49;7;выигрыш
89810;89810;11,77;954,0512;17 03:32;1;выигрыш
90385;90385;12,40;1005,1392;17 06:51;1;выигрыш
90800;90808;13,06;1018,2264;17 09:22;9;выигрыш
91194;91198;13,23;1031,4736;17 11:38;5;выигрыш
92026;92028;13,40;1059,8816;17 16:32;3;выигрыш
92150;92153;13,77;1075,3040;17 17:15;4;выигрыш
92212;92222;13,97;769,4540;17 17:39;11;стоп
92331;92332;10,00;800,6540;17 18:18;2;выигрыш
