id входа;id;начальная ставка;депозит после цикла;Время;порядковый номер шага;результат
55;61;0,20;14,2056;25 21:28;7;выигрыш
402;406;0,20;14,4356;25 23:27;5;выигрыш
710;719;0,20;14,6744;26 01:17;10;выигрыш
1554;1564;0,20;14,9148;26 06:01;11;выигрыш
1626;1627;0,20;15,5388;26 06:23;2;выигрыш
2280;2280;0,20;16,3628;26 10:07;1;выигрыш
2633;2633;0,20;17,1868;26 12:12;1;выигрыш
3223;3223;0,20;18,0108;26 15:45;1;выигрыш
3590;3600;0,20;18,2512;26 18:09;11;выигрыш
4388;4390;0,20;18,6752;26 23:19;3;выигрыш
4640;4641;0,20;19,2992;27 00:50;2;выигрыш
4686;4687;0,20;19,9232;27 01:05;2;выигрыш
4776;4786;0,20;15,4532;27 01:35;11;стоп
5583;5591;0,20;15,6640;27 06:09;9;выигрыш
5845;5848;0,20;15,8880;27 07:44;4;выигрыш
6144;6144;0,20;16,7120;27 09:35;1;выигрыш
6289;6289;0,20;17,5360;27 10:26;1;выигрыш
6344;6345;0,20;18,1600;27 10:42;2;выигрыш
6829;6829;0,20;18,9840;27 13:38;1;выигрыш
6929;6934;0,20;19,2112;27 14:14;6;выигрыш
7412;7414;0,20;19,6352;27 17:07;3;выигрыш
7464;7472;0,20;19,8460;27 17:25;9;выигрыш
7921;7922;0,20;20,4700;27 20:09;2;выигрыш
8410;8420;0,20;20,7104;27 23:08;11;выигрыш
9073;9082;0,20;20,9492;28 02:54;10;выигрыш
9452;9460;0,20;21,1600;28 05:01;9;выигрыш
9666;9670;0,20;21,3900;28 06:13;5;выигрыш
9798;9798;0,20;22,2140;28 06:56;1;выигрыш
10241;10249;0,20;22,4248;28 09:35;9;выигрыш
11121;11122;0,20;23,0488;28 14:32;2;выигрыш
11427;11434;0,20;23,2864;28 16:27;8;выигрыш
12126;12135;0,20;23,5252;28 20:37;10;выигрыш
12288;12291;0,20;23,7492;28 21:28;4;выигрыш
12503;12508;0,20;23,9764;28 22:38;6;выигрыш
12805;12814;0,20;24,2152;29 00:25;10;выигрыш
12861;12861;0,20;25,0392;29 00:39;1;выигрыш
12929;12929;0,20;25,8632;29 01:01;1;выигрыш
13056;13058;0,20;26,2872;29 01:41;3;выигрыш
13179;13182;0,20;26,5112;29 02:22;4;выигрыш
13514;13514;0,20;27,3352;29 04:16;1;выигрыш
14028;14031;0,20;27,5592;29 07:19;4;выигрыш
14481;14484;0,20;27,7832;29 09:54;4;выигрыш
14584;14585;0,20;28,4072;29 10:30;2;выигрыш
14862;14865;0,20;28,6312;29 12:05;4;выигрыш
15563;15566;0,20;28,8552;29 16:22;4;выигрыш
15677;15680;0,20;29,0792;29 17:04;4;выигрыш
15771;15771;0,20;29,9032;29 17:34;1;выигрыш
16487;16497;0,20;25,4332;29 21:55;11;стоп
16992;16999;0,20;25,6708;30 00:49;8;выигрыш
17137;17140;0,20;25,8948;30 01:36;4;выигрыш
17499;17505;0,20;26,1004;30 03:47;7;выигрыш
17746;17747;0,20;26,7244;30 05:12;2;выигрыш
17891;17892;0,20;27,3484;30 06:06;2;выигрыш
17971;17971;0,20;28,1724;30 06:34;1;выигрыш
18148;18158;0,20;28,4128;30 07:40;11;выигрыш
18279;18280;0,20;29,0368;30 08:20;2;выигрыш
18550;18551;0,20;29,6608;30 09:52;2;выигрыш
19105;19111;0,20;29,8664;30 13:17;7;выигрыш
19207;19213;0,20;30,0720;30 13:50;7;выигрыш
19572;19577;0,20;30,2992;30 16:07;6;выигрыш
19662;19663;0,20;30,9232;30 16:35;2;выигрыш
19684;19689;0,20;31,1504;30 16:44;6;выигрыш
19923;19924;0,20;31,7744;30 18:09;2;выигрыш
20233;20235;0,20;32,1984;30 20:08;3;выигрыш
20428;20432;0,20;32,4284;30 21:19;5;выигрыш
20599;20605;0,20;32,6340;30 22:18;7;выигрыш
21123;21123;0,20;33,4580;31 01:16;1;выигрыш
21334;21338;0,20;33,6880;31 02:30;5;выигрыш
21953;21959;0,20;33,8936;31 06:04;7;выигрыш
22374;22383;0,20;34,1324;31 08:39;10;выигрыш
22549;22549;0,20;34,9564;31 09:37;1;выигрыш
23154;23155;0,20;35,5804;31 13:13;2;выигрыш
23306;23313;0,20;35,8180;31 14:09;8;выигрыш
23899;23904;0,20;36,0452;31 17:36;6;выигрыш
24002;24007;0,20;36,2724;31 18:11;6;выигрыш
24035;24041;0,20;36,4780;31 18:21;7;выигрыш
24152;24162;0,20;32,0080;31 19:02;11;стоп
24370;24371;0,20;32,6320;31 20:22;2;выигрыш
24975;24976;0,20;33,2560;31 23:53;2;выигрыш
25620;25621;0,20;33,8800;1 03:36;2;выигрыш
