id входа;id;начальная ставка;депозит после цикла;Время;порядковый номер шага;результат;депозит до цикла;полный стоп;3 стопа;3 стопа % депозита
19207;19213;0,98;100,7556;30 13:50;7;выигрыш;99,7648;21,48;64,44;64,5919
19572;19577;0,99;101,7656;30 16:07;6;выигрыш;100,7556;21,76;65,28;64,7904
19662;19663;1,00;104,8856;30 16:35;2;выигрыш;101,7656;21,96;65,88;64,7370
19684;19689;1,03;105,9428;30 16:44;6;выигрыш;104,8856;22,61;67,83;64,6705
19923;19924;1,04;109,1876;30 18:09;2;выигрыш;105,9428;22,85;68,55;64,7047
20233;20235;1,07;111,4560;30 20:08;3;выигрыш;109,1876;23,48;70,44;64,5128
20428;20432;1,09;112,5756;30 21:19;5;выигрыш;111,4560;23,94;71,82;64,4380
20599;20605;1,11;113,7164;30 22:18;7;выигрыш;112,5756;24,35;73,05;64,8897
21123;21123;1,12;118,3308;31 01:16;1;выигрыш;113,7164;24,55;73,65;64,7664
21334;21338;1,16;119,5000;31 02:30;5;выигрыш;118,3308;25,44;76,32;64,4972
21953;21959;1,17;120,6940;31 06:04;7;выигрыш;119,5000;25,67;77,01;64,4435
22374;22383;1,19;121,9200;31 08:39;10;выигрыш;120,6940;26,13;78,39;64,9494
22549;22549;1,20;126,8640;31 09:37;1;выигрыш;121,9200;26,37;79,11;64,8868
23154;23155;1,25;130,7640;31 13:13;2;выигрыш;126,8640;27,42;82,26;64,8411
23306;23313;1,29;132,0652;31 14:09;8;выигрыш;130,7640;28,28;84,84;64,8802
23899;23904;1,30;133,4016;31 17:36;6;выигрыш;132,0652;28,52;85,56;64,7862
24002;24007;1,31;134,7292;31 18:11;6;выигрыш;133,4016;28,72;86,16;64,5869
24035;24041;1,33;136,0792;31 18:21;7;выигрыш;134,7292;29,18;87,54;64,9748
24152;24162;1,34;106,6692;31 19:02;11;стоп;136,0792;29,41;88,23;64,8372
24370;24371;1,05;109,9452;31 20:22;2;выигрыш;106,6692;23,06;69,18;64,8547
24975;24976;1,08;113,3148;31 23:53;2;выигрыш;109,9452;23,73;71,19;64,7504
25620;25621;1,12;116,8092;1 03:36;2;выигрыш;113,3148;24,55;73,65;64,9959
25829;25833;1,15;117,9772;1 04:43;5;выигрыш;116,8092;25,24;75,72;64,8237
26283;26285;1,16;120,4364;1 07:21;3;выигрыш;117,9772;25,44;76,32;64,6905
26741;26745;1,18;121,6492;1 10:04;5;выигрыш;120,4364;25,92;77,76;64,5652
27750;27754;1,19;122,8632;1 16:10;5;выигрыш;121,6492;26,13;78,39;64,4394
28112;28114;1,21;125,4284;1 18:25;3;выигрыш;122,8632;26,53;79,59;64,7794
28321;28327;1,23;126,6656;1 19:40;7;выигрыш;125,4284;26,98;80,94;64,5308
28354;28356;1,25;129,3156;1 19:49;3;выигрыш;126,6656;27,42;82,26;64,9427
28793;28793;1,27;134,5480;1 22:27;1;выигрыш;129,3156;27,89;83,67;64,7022
29098;29100;1,32;137,3464;2 00:11;3;выигрыш;134,5480;28,99;86,97;64,6386
29879;29879;1,35;142,9084;2 04:42;1;выигрыш;137,3464;29,61;88,83;64,6759
30392;30393;1,41;147,3076;2 07:40;2;выигрыш;142,9084;30,93;92,79;64,9297
30716;30718;1,45;150,3816;2 09:36;3;выигрыш;147,3076;31,76;95,28;64,6810
30950;30954;1,48;151,8776;2 10:59;5;выигрыш;150,3816;32,48;97,44;64,7952
31578;31578;1,50;158,0576;2 14:36;1;выигрыш;151,8776;32,90;98,70;64,9865
31710;31715;1,56;159,6408;2 15:22;6;выигрыш;158,0576;34,22;102,66;64,9510
31747;31747;1,57;166,1092;2 15:32;1;выигрыш;159,6408;34,44;103,32;64,7203
31887;31891;1,64;167,7892;2 16:22;5;выигрыш;166,1092;35,98;107,94;64,9813
32673;32682;1,65;169,4532;2 21:24;10;выигрыш;167,7892;36,20;108,60;64,7241
33090;33091;1,67;174,6636;2 23:48;2;выигрыш;169,4532;36,61;109,83;64,8144
33127;33127;1,72;181,7500;3 00:00;1;выигрыш;174,6636;37,70;113,10;64,7530
33701;33703;1,79;185,5448;3 03:11;3;выигрыш;181,7500;39,25;117,75;64,7868
34153;34153;1,83;193,0844;3 05:48;1;выигрыш;185,5448;40,14;120,42;64,9008
34245;34249;1,90;195,0016;3 06:20;5;выигрыш;193,0844;41,65;124,95;64,7126
34382;34385;1,92;197,1520;3 07:13;4;выигрыш;195,0016;42,10;126,30;64,7687
34502;34503;1,94;203,2048;3 07:53;2;выигрыш;197,1520;42,53;127,59;64,7166
34717;34727;2,00;205,2400;3 09:07;11;выигрыш;203,2048;43,84;131,52;64,7229
35320;35330;2,02;160,9600;3 12:42;11;стоп;205,2400;44,28;132,84;64,7242
35594;35595;1,59;165,9208;3 14:15;2;выигрыш;160,9600;34,85;104,55;64,9540
35869;35870;1,63;171,0064;3 15:56;2;выигрыш;165,9208;35,72;107,16;64,5850
35976;35979;1,68;172,8880;3 16:34;4;выигрыш;171,0064;36,84;110,52;64,6292
37447;37449;1,70;176,4920;4 01:14;3;выигрыш;172,8880;37,28;111,84;64,6893
37531;37541;1,74;178,2680;4 01:43;11;выигрыш;176,4920;38,16;114,48;64,8641
37975;37979;1,76;180,0448;4 04:20;5;выигрыш;178,2680;38,61;115,83;64,9752
38029;38031;1,77;183,7972;4 04:36;3;выигрыш;180,0448;38,78;116,34;64,6173
38281;38282;1,81;189,4444;4 06:04;2;выигрыш;183,7972;39,70;119,10;64,7997
39151;39155;1,87;191,3168;4 11:17;5;выигрыш;189,4444;40,98;122,94;64,8950
39176;39176;1,89;199,1036;4 11:23;1;выигрыш;191,3168;41,44;124,32;64,9812
39284;39293;1,96;201,0808;4 12:04;10;выигрыш;199,1036;42,94;128,82;64,7000
39326;39333;1,98;203,0752;4 12:16;8;выигрыш;201,0808;43,41;130,23;64,7650
39628;39629;2,00;209,3152;4 14:10;2;выигрыш;203,0752;43,84;131,52;64,7642
39684;39686;2,06;213,6824;4 14:28;3;выигрыш;209,3152;45,14;135,42;64,6967
39908;39918;2,11;215,8164;4 15:52;11;выигрыш;213,6824;46,25;138,75;64,9328
40401;40406;2,13;217,9728;4 18:48;6;выигрыш;215,8164;46,70;140,10;64,9163
40433;40437;2,15;220,1260;4 18:59;5;выигрыш;217,9728;47,14;141,42;64,8797
40458;40458;2,17;229,0664;4 19:06;1;выигрыш;220,1260;47,61;142,83;64,8856
40584;40584;2,26;238,3776;4 19:50;1;выигрыш;229,0664;49,58;148,74;64,9331
40948;40949;2,35;245,7096;4 22:01;2;выигрыш;238,3776;51,50;154,50;64,8131
40988;40991;2,42;248,4200;4 22:15;4;выигрыш;245,7096;53,05;159,15;64,7716
41025;41029;2,45;250,8976;4 22:26;5;выигрыш;248,4200;53,70;161,10;64,8499
